名前,分類,写真状態,画像URL,出典ページ,ローカル差し替え用ファイル名
川﨑皇輝,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/371/599c4d9d647c5db7a885ae1d8d4e2.jpg,https://jr-official.starto.jp/s/jr/persons/119,assets/photos/jr_t_3dfe730c46.jpg
内村颯太,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/b46/7f5c50c7dbb7f8f904eaa4290b8ed.jpg,https://jr-official.starto.jp/s/jr/persons/109,assets/photos/jr_t_49778fea85.jpg
元木湧,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/654/cb0c249a19f1c61460d0a84ff0405.jpg,https://jr-official.starto.jp/s/jr/persons/177,assets/photos/jr_t_469e2f32dd.jpg
北川拓実,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/f09/711ecf5913a5599f939ce0c86e83e.jpg,https://jr-official.starto.jp/s/jr/persons/122,assets/photos/jr_t_adb7cc9b59.jpg
青木滉平,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/631/6734884324f1e8d77eddb9eba71c0.jpg,https://jr-official.starto.jp/s/jr/persons/101,assets/photos/jr_t_cf1e0077d0.jpg
安嶋秀生,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/9ff/99b4e12f1414ec8607b8e32856a46.jpg,https://jr-official.starto.jp/s/jr/persons/102,assets/photos/jr_t_3962d8d625.jpg
山井飛翔,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/002/e8af401438156943402758e905953.jpg,https://jr-official.starto.jp/s/jr/persons/182,assets/photos/jr_t_80038bc9fb.jpg
長瀬結星,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/a10/f73fd06f49453ee33daa61296987b.jpg,https://jr-official.starto.jp/s/jr/persons/153,assets/photos/jr_t_61f2ef9e36.jpg
豊田陸人,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/9e4/d87df4052e8f737ca1c5ecfcafa21.jpg,https://jr-official.starto.jp/s/jr/persons/152,assets/photos/jr_t_91f3854ae9.jpg
林蓮音,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/861/4fb958e190bb28e7a03a48315ea6d.jpg,https://jr-official.starto.jp/s/jr/persons/162,assets/photos/jr_t_4ffe932a75.jpg
松尾龍,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/395/784cd36554daff4d5562daec895d2.jpg,https://jr-official.starto.jp/s/jr/persons/173,assets/photos/jr_t_472d8fd3ae.jpg
和田優希,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/7d7/2b538bfdc95252447bc57ebfd7709.jpg,https://jr-official.starto.jp/s/jr/persons/185,assets/photos/jr_t_405a21c1ef.jpg
中村浩大,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/e10/7161933e3f16d362e983e8b5cad64.jpg,https://jr-official.starto.jp/s/jr/persons/154,assets/photos/jr_t_7812026d9c.jpg
田村海琉,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/03b/f0edf20e1b0a7dccf1cd0bbfde975.jpg,https://jr-official.starto.jp/s/jr/persons/165,assets/photos/jr_t_2788dd5220.jpg
久保廉,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/69d/057a12ae6230aaf6dc0304473dbfa.jpg,https://jr-official.starto.jp/s/jr/persons/124,assets/photos/jr_t_f0e3112aa4.jpg
阿達慶,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/5b7/3e3a381d94744232437e55d047962.jpg,https://jr-official.starto.jp/s/jr/persons/221,assets/photos/jr_t_e3e8e900cf.jpg
竹村実悟,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/82c/cea670d9cfd7437209e04e9e59071.jpg,https://jr-official.starto.jp/s/jr/persons/234,assets/photos/jr_t_338eecc323.jpg
千井野空翔,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/d2a/5b8bca2dc8d03a1d659f1587267d6.jpg,https://jr-official.starto.jp/s/jr/persons/218,assets/photos/jr_t_99933c615b.jpg
浅井乃我,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/f3d/9356cfd9653d8ba929dda8a0a8649.jpg,https://jr-official.starto.jp/s/jr/persons/401,assets/photos/jr_t_226c5bd942.jpg
関翔馬,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/3ab/fd1854b2ff9e10c4290b31dcc13e7.jpg,https://jr-official.starto.jp/s/jr/persons/230,assets/photos/jr_t_cb85e7a2f9.jpg
松浦銀志,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/c68/13e01c5565c82be0485d0d7cb7c5a.jpg,https://jr-official.starto.jp/s/jr/persons/240,assets/photos/jr_t_7c0feba815.jpg
羽村仁成,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/d2f/e2e1aca96c9cbcc6ac8433a42871b.jpg,https://jr-official.starto.jp/s/jr/persons/238,assets/photos/jr_t_a687bd16b2.jpg
堀口由翔,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/601/4d7d5bd295e0035741da237ca5ab7.jpg,https://jr-official.starto.jp/s/jr/persons/239,assets/photos/jr_t_a72571169e.jpg
末永光,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/eb9/eae509fdbdbed06e1bd024e841a7d.jpg,https://jr-official.starto.jp/s/jr/persons/304,assets/photos/jr_t_fedec969c0.jpg
平田光寛,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/d28/b70c96a8086294840e3582899d8c5.jpg,https://jr-official.starto.jp/s/jr/persons/352,assets/photos/jr_t_b89d991c36.jpg
田仲陽成,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/e83/be148f943ed4cef31cc06a710f578.jpg,https://jr-official.starto.jp/s/jr/persons/235,assets/photos/jr_t_dbaa231530.jpg
鍋田大成,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/689/c6ae2b30824e9f0778aac478e5f10.jpg,https://jr-official.starto.jp/s/jr/persons/258,assets/photos/jr_t_505d3c3ad7.jpg
岸蒼太,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/784/5990dafb8c1b06ad21976ba0fcf94.jpg,https://jr-official.starto.jp/s/jr/persons/259,assets/photos/jr_t_9694d01592.jpg
渡辺惟良,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/87a/eadf7c8a660f4a1a86582310a21ac.jpg,https://jr-official.starto.jp/s/jr/persons/303,assets/photos/jr_t_22476bda8c.jpg
岡橋亮汰,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/042/e7af33ce78bd624860a98b3edae9b.jpg,https://jr-official.starto.jp/s/jr/persons/257,assets/photos/jr_t_843c0ff3fa.jpg
小山十輝,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/735/29eb98efdb685a9c2f113d93d83ac.jpg,https://jr-official.starto.jp/s/jr/persons/310,assets/photos/jr_t_185c5d65d1.jpg
小久保向一朗,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/45e/cf0eb79fa02b1c627708f988e3337.jpg,https://jr-official.starto.jp/s/jr/persons/308,assets/photos/jr_t_48dd670f53.jpg
